Designator,Mid X,Mid Y,Layer,Rotation
C1,-7.00,38.50,Top,225.0
C2, 0.00,43.00,Top,0.0
C3,-8.00,35.00,Top,90.0
C4, 8.00,35.00,Top,90.0
C5, 0.00,27.00,Top,0.0
C6,-24.75,43.00,Top,270.0
C7,-8.00,15.00,Top,90.0
C8, 4.00,14.00,Top,0.0
C9,-17.00,20.00,Top,270.0
C11, 8.00,15.00,Top,90.0
C13,-11.00,20.00,Top,270.0
C14,-15.25,43.00,Top,90.0
C16, 5.00,41.50,Top,135.0
C17,-4.00,14.00,Top,0.0
C18,-41.00,15.00,Top,90.0
C19,-45.00,14.00,Top,0.0
C20,-38.00,20.00,Top,270.0
D1,-4.00,12.00,Top,180.0
D2, 4.00,12.00,Top,180.0
D4,-45.00,12.00,Top,180.0
LED1,-51.00,24.00,Top,270.0
LED2,-51.00,21.00,Top,270.0
LED3,-51.00,18.00,Top,270.0
LED4,-51.00,15.00,Top,270.0
LED5,-51.00,12.00,Top,270.0
LED6,-51.00, 9.00,Top,270.0
LED7,-51.00, 6.00,Top,270.0
LED8,51.00,24.00,Top,270.0
LED9,51.00,21.00,Top,270.0
LED10,51.00,18.00,Top,270.0
LED11,51.00,15.00,Top,270.0
LED12,51.00,12.00,Top,270.0
LED13,51.00, 9.00,Top,270.0
LED14,51.00, 6.00,Top,270.0
LED15,-30.00,49.00,Top,135.0
LED17,-34.00,45.00,Top,135.0
LED18,-31.00,48.00,Top,315.0
LS1,-36.00,33.00,Top,90.0
Q1,-22.00,20.00,Top,270.0
R1,-17.50,44.00,Top,0.0
R2,-22.50,44.00,Top,180.0
R3,-27.00,47.50,Top,180.0
R4,-3.50,42.00,Top,225.0
R10,-27.00,46.00,Top,0.0
R12,33.00,19.50,Top,270.0
R13,33.00,17.00,Top,270.0
R14,-25.00,18.75,Top,270.0
R15,-34.00,18.75,Top,90.0
R16,-34.00,21.25,Top,90.0
R17,-25.00,21.25,Top,90.0
R30, 7.00,39.50,Top,135.0
R31, 5.00,30.00,Top,225.0
R32,-27.00,44.50,Top,180.0
REG1,-4.00,19.00,Top,0.0
REG2, 4.00,19.00,Top,0.0
REG3,-45.00,19.00,Top,0.0
T1,-32.00,26.00,Top,180.0
U1,-20.00,42.00,Top,0.0
U2, 0.00,35.00,Top,225.0
U5,-29.50,20.00,Top,180.0
X2,-20.00,49.00,Top,180.0
