Designator,Mid X,Mid Y,Layer,Rotation
C1, 5.08, 6.99,Top,180.0
C2, 5.08, 5.71,Top,180.0
C3,-7.62, 1.27,Top,180.0
C4,-7.62,-4.45,Top,180.0
D1, 5.08, 8.89,Top,180.0
LED1, 0.00,36.00,Top,0.0
LED2, 7.02,35.31,Top,348.0
LED3,13.78,33.26,Top,337.0
LED4,20.00,29.93,Top,326.0
LED5,25.46,25.46,Top,315.0
LED6,29.93,20.00,Top,303.0
LED7,33.26,13.78,Top,292.0
LED8,35.31, 7.02,Top,281.0
LED9,36.00, 0.00,Top,270.0
LED10,35.31,-7.02,Top,258.0
LED11,33.26,-13.78,Top,247.0
LED12,29.93,-20.00,Top,236.0
LED13,25.46,-25.46,Top,225.0
LED14,20.00,-29.93,Top,213.0
LED15,13.78,-33.26,Top,202.0
LED16, 7.02,-35.31,Top,191.0
LED17, 0.00,-36.00,Top,180.0
LED18,-7.02,-35.31,Top,168.0
LED19,-13.78,-33.26,Top,157.0
LED20,-20.00,-29.93,Top,146.0
LED21,-25.46,-25.46,Top,135.0
LED22,-29.93,-20.00,Top,123.0
LED23,-33.26,-13.78,Top,112.0
LED24,-35.31,-7.02,Top,101.0
LED25,-36.00, 0.00,Top,90.0
LED26,-35.31, 7.02,Top,78.0
LED27,-33.26,13.78,Top,67.0
LED28,-29.93,20.00,Top,56.0
LED29,-25.46,25.46,Top,45.0
LED30,-20.00,29.93,Top,33.0
LED31,-13.78,33.26,Top,22.0
LED32,-7.02,35.31,Top,11.0
LED40,-1.27, 1.27,Top,180.0
LED41,-1.27,-4.45,Top,180.0
R1,10.16,-1.27,Top,270.0
R2,10.16,-3.81,Top,270.0
R3,-1.27, 0.00,Top,180.0
R4,-1.27,-3.18,Top,180.0
R5,10.16, 1.27,Top,270.0
R6, 0.00,21.00,Top,180.0
R7, 8.04,19.40,Top,157.0
R8,14.85,14.85,Top,135.0
R9,19.40, 8.04,Top,112.0
R10,21.00, 0.00,Top,90.0
R11,19.40,-8.04,Top,67.0
R12,14.85,-14.85,Top,45.0
R13, 8.04,-19.40,Top,22.0
R14, 0.00,-21.00,Top,0.0
R15,-8.04,-19.40,Top,337.0
R16,-14.85,-14.85,Top,315.0
R17,-19.40,-8.04,Top,292.0
R18,-21.00, 0.00,Top,270.0
R19,-19.40, 8.04,Top,247.0
R20,-14.85,14.85,Top,225.0
R21,-8.04,19.40,Top,202.0
REG1,-5.08, 7.62,Top,90.0
TP1, 2.54,-10.79,Top,0.0
TP2, 1.27,-10.79,Top,0.0
TP3, 0.00,-10.79,Top,0.0
TP4,-1.27,-10.79,Top,0.0
TP5,-2.54,-10.79,Top,0.0
U2, 5.08,-1.27,Top,270.0
